127.0.0.1, 2012-08-30 14:09:58, POST, /admin/default/index, HTTP/1.1, 303, 0.119324
127.0.0.1, 2012-08-30 14:09:59, GET, /admin/default/site, HTTP/1.1, 200, 0.150917
127.0.0.1, 2012-08-30 14:09:59, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.004728
127.0.0.1, 2012-08-30 14:09:59, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.010962
127.0.0.1, 2012-08-30 14:09:59, GET, /admin/static/images/small_special_button.png, HTTP/1.1, 200, 0.005131
127.0.0.1, 2012-08-30 14:09:59, GET, /admin/static/images/folder.png, HTTP/1.1, 200, 0.001955
127.0.0.1, 2012-08-30 14:09:59, GET, /admin/static/images/sidebar_background.jpg, HTTP/1.1, 200, 0.002112
127.0.0.1, 2012-08-30 14:10:00, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.717502
127.0.0.1, 2012-08-30 14:10:15, GET, /admin/default/design/PhotoUpload, HTTP/1.1, 200, 0.568345
127.0.0.1, 2012-08-30 14:10:15, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.002138
127.0.0.1, 2012-08-30 14:10:15, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.001993
127.0.0.1, 2012-08-30 14:10:15, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.001893
127.0.0.1, 2012-08-30 14:10:15, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.002446
127.0.0.1, 2012-08-30 14:10:16, GET, /admin/static/images/folder_sm.png, HTTP/1.1, 200, 0.002033
127.0.0.1, 2012-08-30 14:10:19, POST, /admin/default/check_version, HTTP/1.1, 500, 20.016573
127.0.0.1, 2012-08-30 14:15:21, GET, /admin/default/edit/PhotoUpload/controllers/appadmin.py, HTTP/1.1, 200, 0.182197
127.0.0.1, 2012-08-30 14:15:21, GET, /admin/static/edit_area/edit_area_full.js, HTTP/1.1, 200, 0.002113
127.0.0.1, 2012-08-30 14:15:21, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.001883
127.0.0.1, 2012-08-30 14:15:21, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.002094
127.0.0.1, 2012-08-30 14:15:21, GET, /admin/static/edit_area/langs/en.js, HTTP/1.1, 200, 0.001465
127.0.0.1, 2012-08-30 14:15:21, GET, /admin/static/edit_area/reg_syntax/python.js, HTTP/1.1, 200, 0.002138
127.0.0.1, 2012-08-30 14:15:22, GET, /admin/static/edit_area/images/search.gif, HTTP/1.1, 200, 0.001954
127.0.0.1, 2012-08-30 14:15:22, GET, /admin/static/edit_area/images/fullscreen.gif, HTTP/1.1, 200, 0.001729
127.0.0.1, 2012-08-30 14:15:22, GET, /admin/static/edit_area/images/go_to_line.gif, HTTP/1.1, 200, 0.002110
